,Estimate,Est.Error,Q2.5,Q97.5
Intercept,2.3980796586663,0.0337709656153391,2.33342689901958,2.4647147791371
MatchingNonmatching,-0.463317581,0.0155997530598866,-0.49330169,-0.432456894
IdentityClose,-0.615396438,0.0187179393781163,-0.652110118,-0.578510414
IdentityStranger,-0.898352089,0.0178167794165242,-0.932678952,-0.863039589
IdentityOther,-0.03942734,0.0207736800114899,-0.080047793,0.0018819930240934
CountryGermany,0.12955388937717,0.0378571691382775,0.0573448053415317,0.204546819206707
CountryUnitedKingdom,-0.397211354,0.0183014451047889,-0.432155939,-0.360191214
MatchingNonmatching:IdentityClose,0.420893990662215,0.0236452494228098,0.375530319105632,0.46735961618739
MatchingNonmatching:IdentityStranger,0.806672501049983,0.0235783909589194,0.759779470679325,0.854676413027849
MatchingNonmatching:IdentityOther,0.0340500931821321,0.026837259298985,-0.01830839,0.0867975557093158
MatchingNonmatching:CountryGermany,-0.023724938,0.0473628749500874,-0.118493875,0.0647416722063026
MatchingNonmatching:CountryUnitedKingdom,0.0638793600624714,0.0216911133851501,0.0218015834876513,0.105685671774879
IdentityClose:CountryGermany,0.095710246443108,0.0713413842623586,-0.040005781,0.240327184130193
IdentityStranger:CountryGermany,-0.245406223,0.046040570768184,-0.33646035,-0.153542626
IdentityOther:CountryGermany,-0.15563362,0.15527398479411,-0.45828053,0.157833536250753
IdentityClose:CountryUnitedKingdom,0.200472087822266,0.0265429510135064,0.147602622532585,0.252574901396694
IdentityStranger:CountryUnitedKingdom,0.235173219341966,0.023509162094766,0.189477360791292,0.280523665933699
IdentityOther:CountryUnitedKingdom,-1.022194234,0.0288920002935123,-1.078192553,-0.964623686
MatchingNonmatching:IdentityClose:CountryGermany,-0.10382288,0.0961974663274914,-0.289084574,0.0871574533081984
MatchingNonmatching:IdentityStranger:CountryGermany,0.18717686397842,0.0627880702684488,0.0656435409435498,0.310957461230217
MatchingNonmatching:IdentityOther:CountryGermany,0.178570581345125,0.205378172138449,-0.226004645,0.579686650424096
MatchingNonmatching:IdentityClose:CountryUnitedKingdom,-0.001269111,0.0356829961346691,-0.070712841,0.0691281220990735
MatchingNonmatching:IdentityStranger:CountryUnitedKingdom,-0.271135957,0.0321086598818786,-0.334336155,-0.208269628
MatchingNonmatching:IdentityOther:CountryUnitedKingdom,0.967211403833283,0.0399309533831165,0.889819966345179,1.04536412654158
