"","participant","avg_rt_matching","avg_rt_nonmatching","sd_matching","sd_nonmatching","IAT_score"
"1",1,643.291990005,1013.48381499,126.659165923629,439.917499238404,-1.30676693110589
"2",2,655.415399995,842.649814995,113.396793388336,269.399194480315,-0.9782464860329
"3",3,553.824825,666.03295501,99.5273560740672,176.895654558656,-0.811858099317848
"4",4,621.78385002,989.162584995,101.776925899406,325.037329521923,-1.72149233681214
"5",5,1119.71021998,775.64746501,479.397113389846,272.254351871618,0.915484824739394
"6",6,835.702920005,803.479639985,406.239863187726,355.87251403915,0.0845630670302246
"7",7,695.823485015,649.748770015,182.56606834182,146.08811502105,0.280384168724416
"8",8,711.135665,815.526365,169.776870367592,249.398940926731,-0.498075972836622
"9",9,545.94279,770.07382,77.3395331313464,220.642828025938,-1.50432414274143
"10",10,694.93971,744.235405,192.312187020923,226.413788242797,-0.23545563405257
"11",11,699.984675,905.283505,152.411468740418,218.846443240228,-1.10596339296711
"12",12,549.528425,610.062705,56.7860037912871,173.651382648802,-0.525385927476125
"13",13,632.5278,544.686266666667,214.850156581796,189.807588299873,0.434152240723924
"14",14,680.1722,818.870935,163.540405134743,574.234327638949,-0.375992098505615
"15",15,755.322815,611.052825,207.459463981988,158.988809799051,0.787396204716218
"16",16,846.893550015,1057.728419995,258.564908927201,421.604288272816,-0.619948303592466
"17",17,740.013469995,793.39028,263.312632494718,166.261347013599,-0.248510443142269
"18",18,626.589715,722.827095005,99.3047508602541,188.567790695431,-0.668611042129451
"19",19,861.399209995,1041.288635,249.889829852529,299.560651601902,-0.654797588051324
"20",20,658.755585005,780.269904985,105.469880034439,206.223576844155,-0.779704015585611
"21",21,1015.162209995,1178.390015,304.841916816996,363.100335381778,-0.488748254711171
"22",22,564.56485999,656.58932496,76.8981213013892,261.428329860908,-0.543998050722055
"23",23,580.079220005,721.35754999,106.079299459021,153.236016415215,-1.08962580562359
"24",24,581.084449985,549.843385,161.076189204579,169.800756052301,0.188837967908254
"25",25,622.928634975,903.284485,127.667264813841,277.31294666,-1.38454098290237
"26",26,2272.207660015,1531.480495015,2048.50550609596,1025.22340105033,0.48197299591245
"27",27,655.414869985,830.826810025,283.353062300094,215.628138776321,-0.703080355178098
"28",28,624.47121498,588.17144497,128.353488744271,202.632922991774,0.219342962266066
"29",29,1307.98972999,2244.555665005,499.376286355532,3097.10775892508,-0.520823072324752
"30",30,612.459519975,675.74066504,123.87141812489,165.186014260624,-0.437844787748631
"31",31,1046.874179995,1079.938680015,260.953837549461,426.742785123198,-0.0961601349487463
"32",32,561.974164995,566.41798,78.4235589770306,84.3734996252643,-0.0545933082962628
"33",33,552.28683999,733.766589975,109.580628882635,223.248203399072,-1.09052901902078
"34",34,876.426169995,921.887225,498.31731595758,441.960717701609,-0.0966970478467601
"35",35,659.58129502,750.184545025,296.577252291861,140.594669652081,-0.414497114096993
"36",36,648.458344925,808.235610015,151.532766811861,238.561290561052,-0.819173027992374
"37",37,830.38892,960.948730005,244.654067130842,374.032944701744,-0.422054471834715
"38",38,901.022995,777.41997,509.498982135098,218.565883244194,0.339538496849749
"39",39,981.645975,1039.543625,406.103669768653,434.935436136675,-0.137681231689403
"40",40,1187.447665,833.388879995,666.399560890237,745.366431838717,0.501582821556144
